iter	Passed	Remaining
0	1	193
1	3	179
2	5	174
3	6	165
4	8	163
5	10	160
6	11	157
7	13	156
8	15	158
9	17	155
10	18	153
11	20	151
12	22	150
13	24	150
14	26	148
15	27	145
16	29	143
17	31	141
18	32	139
19	34	137
20	36	135
21	37	134
22	39	132
23	41	130
24	42	128
25	44	127
26	46	125
27	48	123
28	49	122
29	51	121
30	53	119
31	55	117
32	57	115
33	58	114
34	60	112
35	62	110
36	64	109
37	65	107
38	67	105
39	69	104
40	71	102
41	71	99
42	73	97
43	75	95
44	76	94
45	78	92
46	80	91
47	82	89
48	84	87
49	86	86
50	88	84
51	89	83
52	91	81
53	93	79
54	94	77
55	96	75
56	98	74
57	99	72
58	101	70
59	103	68
60	105	67
61	106	65
62	108	63
63	110	62
64	112	60
65	117	60
66	119	59
67	122	57
68	125	56
69	128	54
70	130	53
71	133	51
72	136	50
73	142	50
74	145	48
75	148	46
76	160	47
77	192	54
78	195	51
79	197	49
80	201	47
81	205	45
82	209	42
83	212	40
84	214	37
85	217	35
86	223	33
87	226	30
88	238	29
89	241	26
90	244	24
91	253	22
92	255	19
93	260	16
94	264	13
95	267	11
96	270	8
97	272	5
98	275	2
99	279	0
