iter	Passed	Remaining
0	170	169932
1	173	86434
2	175	58396
3	177	44155
4	178	35614
5	180	29891
6	181	25808
7	184	22899
8	187	20638
9	189	18759
10	191	17202
11	193	15936
12	196	14945
13	199	14025
14	201	13235
15	203	12494
16	204	11835
17	206	11248
18	207	10725
19	211	10380
20	214	9981
21	216	9623
22	218	9261
23	219	8930
24	221	8624
25	222	8339
26	226	8167
27	229	7973
28	232	7777
29	234	7566
30	236	7377
31	237	7198
32	241	7076
33	243	6921
34	246	6787
35	247	6632
36	249	6486
37	250	6349
38	253	6253
39	255	6136
40	257	6027
41	259	5921
42	261	5813
43	262	5711
44	264	5611
45	268	5564
46	270	5489
47	272	5413
48	274	5330
49	276	5249
50	278	5176
51	279	5100
52	283	5066
53	285	5006
54	288	4953
55	290	4893
56	291	4826
57	293	4762
58	294	4704
59	298	4683
60	301	4637
61	303	4593
62	305	4546
63	308	4505
64	313	4504
65	316	4474
66	318	4440
67	320	4394
68	322	4348
69	324	4304
70	327	4278
71	329	4242
72	330	4201
73	332	4163
74	334	4124
75	336	4086
76	338	4052
77	342	4051
78	346	4038
79	348	4008
80	350	3977
81	352	3943
82	353	3902
83	354	3870
84	360	3881
85	363	3866
86	365	3837
87	367	3809
88	369	3782
89	375	3795
90	379	3792
91	381	3769
92	384	3745
93	391	3770
94	396	3778
95	398	3750
96	400	3723
97	404	3721
98	406	3701
99	409	3685
100	411	3664
101	413	3638
102	414	3613
103	418	3604
104	420	3581
105	422	3559
106	424	3543
107	426	3520
108	427	3496
109	429	3474
110	430	3450
111	433	3439
112	435	3417
113	436	3394
114	438	3373
115	439	3353
116	441	3329
117	442	3309
118	444	3288
119	446	3277
120	448	3257
121	449	3236
122	451	3221
123	453	3203
124	454	3184
125	456	3165
126	457	3145
127	459	3128
128	461	3114
129	462	3097
130	464	3079
131	465	3063
132	467	3048
133	469	3031
134	470	3015
135	472	2999
136	473	2983
137	475	2967
138	476	2954
139	478	2939
140	479	2923
141	480	2906
142	482	2891
143	483	2876
144	485	2862
145	487	2848
146	488	2835
147	490	2822
148	491	2808
149	493	2796
150	495	2783
151	496	2770
152	498	2757
153	499	2746
154	501	2733
155	502	2721
156	504	2710
157	506	2698
158	508	2687
159	509	2676
160	511	2663
161	513	2656
162	515	2645
163	516	2635
164	518	2624
165	520	2617
166	524	2614
167	526	2606
168	529	2604
169	531	2596
170	533	2586
171	537	2585
172	540	2583
173	544	2582
174	546	2575
175	548	2568
176	552	2568
177	555	2563
178	559	2566
179	561	2557
180	563	2549
181	567	2548
182	571	2551
183	573	2545
184	575	2536
185	582	2549
186	584	2542
187	588	2542
188	590	2534
189	595	2538
190	599	2537
191	602	2536
192	604	2529
193	609	2532
194	612	2530
195	616	2529
196	619	2524
197	621	2515
198	625	2515
199	628	2514
200	632	2514
201	634	2506
202	636	2500
203	639	2496
204	642	2490
205	644	2484
206	647	2480
207	649	2472
208	650	2463
209	652	2455
210	655	2452
211	658	2446
212	660	2442
213	662	2434
214	664	2426
215	666	2418
216	669	2416
217	673	2417
218	677	2415
219	678	2406
220	680	2398
221	682	2390
222	685	2387
223	687	2381
224	689	2375
225	691	2369
226	693	2361
227	694	2353
228	696	2345
229	700	2344
230	702	2339
231	706	2337
232	708	2331
233	710	2324
234	711	2317
235	714	2313
236	717	2309
237	719	2303
238	721	2297
239	723	2290
240	725	2284
241	727	2279
242	730	2275
243	732	2269
244	734	2262
245	736	2256
246	737	2249
247	739	2242
248	741	2236
249	743	2231
250	745	2225
251	747	2218
252	748	2211
253	750	2205
254	752	2198
255	754	2191
256	757	2190
257	760	2186
258	762	2182
259	764	2177
260	766	2171
261	768	2165
262	770	2159
263	772	2153
264	774	2147
265	776	2141
266	778	2136
267	780	2131
268	782	2125
269	784	2120
270	786	2115
271	788	2109
272	789	2103
273	791	2098
274	793	2093
275	796	2088
276	798	2083
277	799	2077
278	801	2071
279	803	2066
280	805	2061
281	807	2056
282	809	2051
283	811	2045
284	813	2042
285	815	2036
286	817	2031
287	819	2026
288	821	2021
289	823	2016
290	825	2011
291	827	2007
292	830	2002
293	832	2000
294	835	1995
295	836	1990
296	839	1986
297	841	1983
298	843	1978
299	845	1972
300	847	1967
301	848	1962
302	850	1956
303	852	1951
304	853	1945
305	856	1941
306	857	1936
307	859	1931
308	861	1926
309	863	1921
310	864	1915
311	866	1911
312	868	1906
313	870	1901
314	872	1896
315	873	1891
316	875	1886
317	877	1881
318	878	1876
319	880	1871
320	882	1866
321	883	1861
322	885	1856
323	887	1852
324	889	1848
325	891	1843
326	893	1838
327	895	1833
328	896	1828
329	898	1824
330	900	1819
331	902	1814
332	903	1810
333	905	1805
334	907	1800
335	908	1796
336	910	1791
337	912	1786
338	913	1782
339	915	1777
340	917	1773
341	919	1768
342	921	1764
343	922	1759
344	924	1755
345	926	1751
346	928	1746
347	929	1742
348	931	1737
349	933	1733
350	934	1728
351	936	1723
352	938	1719
353	939	1715
354	942	1711
355	944	1707
356	946	1704
357	948	1700
358	950	1697
359	952	1693
360	954	1689
361	956	1686
362	958	1682
363	960	1678
364	962	1673
365	963	1669
366	965	1665
367	967	1661
368	969	1657
369	970	1652
370	972	1648
371	974	1644
372	975	1640
373	977	1636
374	979	1632
375	981	1628
376	983	1624
377	985	1620
378	986	1616
379	988	1612
380	990	1608
381	991	1604
382	993	1600
383	995	1596
384	997	1593
385	999	1589
386	1000	1585
387	1002	1581
388	1003	1576
389	1005	1572
390	1007	1569
391	1009	1565
392	1012	1563
393	1014	1559
394	1015	1555
395	1017	1552
396	1019	1548
397	1021	1544
398	1023	1540
399	1024	1537
400	1027	1535
401	1030	1533
402	1032	1529
